年別,年齡組,所得收入者人數[人],所得收入總計[元],非消費支出[元],可支配所得[元]
98年,未滿30歲,205423,551386,74048,477338
98年,30～34歲,167815,775145,134840,640306
98年,35～39歲,163582,828401,162907,665494
98年,40～44歲,174616,947440,183319,764121
98年,45～54歲,399867,1068095,207403,860693
98年,55～64歲,249476,1028514,191623,836891
98年,65歲及以上,211427,693172,53331,639841
99年,未滿30歲,214595,548105,71887,476218
99年,30～34歲,179764,741917,119576,622341
99年,35～39歲,146800,858987,143026,715961
99年,40～44歲,179317,1017649,184431,833219
99年,45～54歲,398867,1086581,199722,886859
99年,55～64歲,272780,1025888,176099,849789
99年,65歲及以上,238563,710929,63736,647193
100年,未滿30歲,216381,500022,69529,430493
100年,30～34歲,191525,718070,121674,596397
100年,35～39歲,175249,828809,153864,674944
100年,40～44歲,188799,957686,179409,778277
100年,45～54歲,367864,1054161,200948,853213
100年,55～64歲,308590,1020198,199964,820234
100年,65歲及以上,234707,721189,101806,619383
101年,未滿30歲,227653,517282,77221,440060
101年,30～34歲,187077,779048,135212,643835
101年,35～39歲,155265,883532,170423,713109
101年,40～44歲,165655,977540,191307,786233
101年,45～54歲,372004,1072755,228679,844076
101年,55～64歲,361592,977176,180769,796407
101年,65歲及以上,252002,730003,69384,660619
102年,未滿30歲,202166,527537,73518,454019
102年,30～34歲,183895,727514,117633,609882
102年,35～39歲,140877,858856,163332,695525
102年,40～44歲,158232,936308,173526,762782
102年,45～54歲,353069,1075690,194743,880947
102年,55～64歲,377381,1021250,181109,840142
102年,65歲及以上,312591,707896,76866,631030
103年,未滿30歲,171383,553133,79552,473581
103年,30～34歲,173153,747619,125164,622454
103年,35～39歲,189032,890898,157864,733034
103年,40～44歲,168980,1048394,210345,838049
103年,45～54歲,388615,1103348,222009,881339
103年,55～64歲,374945,938637,167204,771433
103年,65歲及以上,291192,680117,63887,616230
104年,未滿30歲,175345,533488,82908,450580
104年,30～34歲,188925,723555,123734,599821
104年,35～39歲,183761,876022,163762,712260
104年,40～44歲,167721,1063177,202247,860930
104年,45～54歲,356888,1065487,204623,860865
104年,55～64歲,383959,922140,152282,769858
104年,65歲及以上,377991,709582,63942,645640
105年,未滿30歲,205533,535030,78701,456329
105年,30～34歲,142148,739507,120723,618784
105年,35～39歲,165000,864063,155753,708311
105年,40～44歲,157445,1000980,184891,816089
105年,45～54歲,353709,1113640,190601,923039
105年,55～64歲,393697,931064,156350,774713
105年,65歲及以上,408980,695422,51853,643569
106年,未滿30歲,179140,549911,86265,463646
106年,30～34歲,159156,730998,131179,599819
106年,35～39歲,208500,871324,165158,706165
106年,40～44歲,156399,1027326,216349,810977
106年,45～54歲,370680,1173694,239312,934382
106年,55～64歲,403659,947609,179509,768100
106年,65歲及以上,387802,692400,75996,616405
107年,未滿30歲,217520,566208,85224,480984
107年,30～34歲,171722,752757,120186,632572
107年,35～39歲,198151,879389,147238,732151
107年,40～44歲,184480,1059287,187359,871928
107年,45～54歲,361902,1103447,191987,911460
107年,55～64歲,398390,919357,159590,759767
107年,65歲及以上,413937,613592,55053,558539
108年,未滿30歲,211681,591360,87796,503564
108年,30～34歲,159084,756012,126398,629613
108年,35～39歲,194101,863173,161717,701456
108年,40～44歲,194762,1044960,189303,855657
108年,45～54歲,366430,1078817,211782,867035
108年,55～64歲,466343,937714,168269,769445
108年,65歲及以上,438423,638020,69910,568111
109年,未滿30歲,218105,584424,89689,494735
109年,30～34歲,146116,798445,136349,662096
109年,35～39歲,210320,883873,169723,714150
109年,40～44歲,210654,965921,192173,773747
109年,45～54歲,338019,1116641,204607,912034
109年,55～64歲,439596,965275,172947,792328
109年,65歲及以上,445742,646176,58209,587967
